Атꙋнчѣ ЇС дꙋс фꙋ де дꙋχꙋл ꙟпꙋстїе, съсѫ испитѣскѫ де дїаволꙋл.	Atunci Iisus a fost dus de Duhul în pustiu, ca să fie ispitit de către diavolul.
Атꙋчѣ атинсе ѡкїи лор зикънд, дꙋпѫ крединца воастрѫ фїе воѡ.	Atunci S-a atins de ochii lor, zicând: După credința voastră, fie vouă!
Ши сѫ дешкисърѫ ѡкїи лѡрь : ши контени ЇС пре Еи, зикънд, къꙋтаци кꙋмь ниме сънꙋ щие.	Și s-au deschis ochii lor. Iar Iisus le-a poruncit cu asprime, zicând: Vedeți, nimeni să nu știe.
Ѩрѫ Еи дѣка еширѫ,вестирѫ пре Ел престе тот цьнꙋтꙋл.	Iar ei, ieșind, L-au vestit în tot ținutul acela.
Дѣка Еширѫ еи ѩтѫ адꙋсърѫ лꙋи ѹн ѡм мꙋт ши ꙟдръчит.	Și plecând ei, iată au adus la El un om mut, având demon.
Ши фꙋ скос дракꙋл, ши гръи мꙋтꙋл, ши сѫ мирарѫ мꙋлцимѣ зикънд, къ неч ѡдатѫ нꙋсаꙋ арѫтат ашѧ ка ачаста ꙟтрꙋ Їсраиль.	Și fiind scos demonul, mutul a grăit. Iar mulțimile se minunau zicând: Niciodată nu s-a arătat așa în Israel.
Ѩрѫ фарисеи зичѣ, кꙋ краюл драчилѡр Скоате драчїи.	Dar fariseii ziceau: Cu domnul demonilor scoate pe demoni.
Ши ꙟбла ЇС пре ꙟтоате ѡрашъле ши сателе ꙟвъцъндь ꙟСинагогиле лѡрь, ши повестинд еѵглїѧ ꙟпъръцїеи, ши виндекънд тоть фѣлюл де боале, ши слѫбичюнѣ ꙟтрꙋ.	Și Iisus străbătea toate cetățile și satele, învățând în sinagogile lor, propovăduind Evanghelia împărăției și vindecând toată boala și toată neputința în popor.
Ѩрѫ дѣка въζꙋ нъроаделе, исъ фѣче милѫ де ѧле, къ ера ръсфираци, ши рътъчиц ка неще ѡи че наꙋ пъсторю.	Și văzând mulțimile, I s-a făcut milă de ele că erau necăjite și rătăcite ca niște oi care n-au păstor.
Атꙋнчи зисе ѹченичилорь лꙋи: ѩтѫ сечерѫтꙋрѫи мꙋлтѫ, ѩрѫ лꙋкръторис пꙋцинь.	Atunci a zis ucenicilor Lui: Secerișul e mult, dar lucrătorii sunt puțini.
Чевѫ рꙋгаци домнꙋлꙋи сечерѣтꙋрїи, касъ скоаць лꙋкръторїи ла сечерѫтꙋра са.	Rugați, deci, pe Domnul secerișului, ca să scoată lurcători la secerișul Său.
﻿Атꙋнчи кемѫ ЇС пре чеи доиспръζѣче ѹченич аи съи, дѣде лѡрь пꙋтѣре спре дꙋχꙋреле некꙋрате, ка съле Скоацѫ пре ѧле ,ши съ виндече тоатѫ боала ши тоатѫ непꙋтинца.	Chemând la Sine pe cei doisprezece ucenici ai Săi, le-a dat lor putere asupra duhurilor celor necurate, ca să le scoată și să tămăduiască orice boală și orice neputință.
Дарѫ челор доиспръζѣче апстоли нꙋмеле лор ачѣстѣс ꙟтъи сїмон кареле съ џиче пътрꙋ, ши андрею фрателе лꙋи ѩкоп фечорꙋл лꙋи зеведею ши Їѡан фрателе лꙋи.	Numele celor doisprezece apostoli sunt acestea: Întâi Simon, cel numit Petru, și Andrei, fratele lui; Iacov al lui Zevedeu și Ioan fratele lui;
Филип ши варѳоломею ѳома ши вамешꙋл, ѩкоп фечорꙋ лꙋи алфею ши леви чел кїамѫ Ѳадею.	Filip și Vartolomeu, Toma și Matei vameșul, Iacov al lui Alfeu și Levi ce se zice Tadeu;
Симѡн кананит,ши Їꙋда искариѡт, кареле шил въндꙋ пре Ел.	Simon Cananeul și Iuda Iscarioteanul, cel care L-a vândut.
Пре ачещи доиспрѫζѣче тримѣсеи ЇС, порꙋнчииндꙋле лѡр ζикѫндь , ꙟкалѣ пѫгънилѡр сѫ нꙋ мѣрџеци, ши ꙟ ѡрашъле самаринѣнилѡрь нꙋ ꙟтрарець.	Pe acești doisprezece i-a trimis Iisus, poruncindu-le lor și zicând: În calea păgânilor să nu mergeți, și în vreo cetate de samarineni să nu intrați;
Чевѫ дꙋчц маи бине дꙋпѫ ѡиле перите але касеи лꙋи израил	Ci mai degrabă mergeți către oile cele pierdute ale casei lui Israel.
Деч мергъндь вестꙋиць ζикъндь, къ саꙋ апропиѩть ꙟпъръцїѧ черюрелорь.	Și mergând, propovăduiți, zicând: S-a apropiat împărăția cerurilor.
Пре болнави виндекаци, пре гꙋбави кꙋръциць, пре морци ꙟвїѧци,пре драчїи скоатец: ꙟдар аци лꙋат ꙟдар даць.	Tămăduiți pe cei neputincioși, înviați pe cei morți, curățiți pe cei leproși, pe demoni scoateți-i; în dar ați luat, în dar să dați.
Нꙋ стрънџереци аꙋр, неч арџинт,неч бани ꙟпꙋнџиле воастре.	Să nu aveți nici aur, nici arginți, nici bani în cingătorile voastre;
Неч таистрѫ пре кале , нече доаѡ вешминте, нече ꙟкѫлцѫминте. неч тоѩгь,къ врѣдннк ѧсте лꙋкръторюл платеи сале.	Nici traistă pe drum, nici două haine, nici încălțăminte, nici toiag; că vrednic este lucrătorul de hrana sa.
Варе ꙟче ѡраш аꙋ сат веци ꙟтра, ꙟтребаць чине ѧсте ꙟтрънса χарникь: ши аколо мънец пънѫ вець Еши.	În orice cetate sau sat veți intra, cercetați cine este în el vrednic și acolo rămâneți până ce veți ieși.
Деч ꙟтръи ꙟкасѫ, ѹрац бине ζикънд,паче касїи ачещїѧ.	Și intrând în casă, urați-i, zicând: "Pace casei acesteia".
Дечи де вафи каса дестоиникѫ,венива пачѣ воастрѫ спре ѧ, ѩрѫ де нꙋ вафи дестоиникѫ, пачѣ воастрѫ кътрѫ вои сѫва ꙟтоарче.	Și dacă este casa aceea vrednică, vină pacea voastră peste ea. Iar de nu este vrednică, pacea voastră întoarcă-se la voi.
Ши чине нꙋ ва прїими пре вои, нїч ва аскꙋлта кꙋвинтеле воастре, Ешинд ди ꙟкасѫ аꙋ де ꙟѡрашꙋль ачела, скꙋтꙋраць праχꙋль де пре пичоареле воастре.	Cine nu vă va primi pe voi, nici nu va asculta cuvintele voastre, ieșind din casa sau din cetatea aceea, scuturați praful de pe picioarele voastre.
Адевърь гръескь воаѡ маи лесне вафи, лꙋкрꙋль пъмѫнтꙋлꙋи Содомꙋлꙋи ши гоморꙋлꙋи ꙟζꙋѡа џюдекѫцїи, декът ѡрашꙋлꙋи ачелꙋѧ.	Adevărat grăiesc vouă, mai ușor va fi pământului Sodomei și Gomorei, în ziua judecății, decât cetății aceleia.
Ѩтѫ Еꙋ тримец пре вои, ка ѡиле ꙟмижлокꙋл лꙋпилѡр: деч фици ꙟцелепци ка шерпїи, ши блънζи ка порꙋмбїи.	Iată Eu vă trimit pe voi ca pe niște oi în mijlocul lupilor; fiți dar înțelepți ca șerpii și nevinovați ca porumbeii.
Лꙋацивѫ аминте де ѡамени, кѫ ворь да пре вои ла адꙋнъри, ши ꙟсъбоаръле лѡрь вор бате пре вои.	Feriți-vă de oameni, căci vă vor da pe mâna sinedriștilor și în sinagogile lor vă vor bate cu biciul.
Ши ꙟнаинтѣ домнирѡр ши краилѡр дꙋшвец фи пентрꙋ мине, ꙟтрꙋ мъртꙋрїе лѡр, ши лимбилѡрь.	La dregători și la regi veți fi duși pentru Mine, spre mărturie lor și păgânilor.
Ѩрѫ къндвѫ ворь да пре вои, нꙋвѫ грижирец кꙋмь, ши чевець тръи, къ съва да воаѡ ꙟтрачела чась че вец гръи.	Iar când vă vor da pe voi în mâna lor, nu vă îngrijiți cum sau ce veți vorbi, căci se va da vouă în ceasul acela ce să vorbiți;
Къ нꙋвец фи вои гръиндь, че дꙋχꙋл татѫлꙋи вострꙋ ва гръи дентрꙋ вои.	Fiindcă nu voi sunteți care vorbiți, ci Duhul Tatălui vostru este care grăiește întru voi.
Дава фрате пре фрате спре моарте, ши татѫ пре фїю, ши съвор скꙋла фечорїи спре пъринци, шїи вор ѡморѫ пре еи.	Va da frate pe frate la moarte și tată pe fiu și se vor scula copiii împotriva părinților și-i vor ucide.
Ши вец фи ѹръци тꙋтꙋрор, пентрꙋ нꙋмеле мїеꙋ. ѩрѫ чела чева ръбда пънѫ ꙟсфършит, ачела вафи спъсить.	Și veți fi urâți de toți pentru numele Meu; iar cel ce va răbda până în sfârșit, acela se va mântui.
Дарѫ кънд вѫ ворь гони пре вои денчест ѡраш фꙋџиц ꙟтралтꙋл, къ адевърь гръескъ воаѡ, нꙋвец ꙟбла ѡрашеле иζраилтенещи, пънѫ ва вени фїюл ѡменескь.	Când vă urmăresc pe voi în cetatea aceasta, fugiți în cealaltă; adevărat grăiesc vouă: nu veți sfârși cetățile lui Israel, până ce va veni Fiul Omului.
Нꙋ ѧсте ѹченикꙋл маи маре, декът ꙟвъцъторюль съꙋ, нечи Слꙋга де домнꙋл лꙋи.	Nu este ucenic mai presus de învățătorul său, nici slugă mai presus de stăpânul său.
Аџюнџеи ѹченикꙋлꙋи съ фїе ка даскалꙋл лꙋи, ши Слꙋга ка домнꙋ съꙋ,дѣка кемарѫ пре стъпънꙋл касеи,веелζевꙋл дарѫ кꙋмь иарѫ кема пре фъмѣѧ лꙋи ?	Destul este ucenicului să fie ca învățătorul și slugii ca stăpânul. Dacă pe stăpânul casei l-au numit Beelzebul, cu cât mai mult pe casnicii lui?
Дечи нꙋвѫ тѣмерец де Еи : къ немикѫ нꙋ ѧсте акоперит, касѫ нꙋсѫ дескоапере, ши таинѫ ка сѫ нꙋ сѫ щие.	Deci nu vă temeți de ei, căci nimic nu este acoperit care să nu iasă la iveală și nimic ascuns care să nu ajungă cunoscut.
Каре вѫ зикь воаѡ ꙟтꙋнѣрек, Спꙋнец ла лꙋминѫ, ши че аꙋζиц ла ѹрѣке, повестиц пре ꙟкꙋрте.	Ceea ce vă grăiesc la întuneric, spuneți la lumină și ceea ce auziți la ureche, propovăduiți de pe case.
Ши нꙋвѫ тѣмерец де чеѧ че ѡмор трꙋпꙋл, ѩрѫ Сꙋфлетꙋль нꙋл пот ѡморѫ, чевѫ тѣмец маи врътос де чела че поате пїѧрде Сꙋфлетꙋль ши трꙋпꙋл ꙟгеенѫ.	Nu vă temeți de cei ce ucid trupul, iar sufletul nu pot să-l ucidă; temeți-vă mai curând de acela care poate și sufletul și trupul să le piardă în gheena.
Аꙋ нꙋ доаѡ пъсърѣле съ вънд ꙟтрꙋ филѣрю, ши ѹна де ѧле нꙋ каде пре пъмънт, фърѫ воѧ пъринтелꙋи вострꙋ.	Au nu se vând două vrăbii pe un ban? Și nici una din ele nu va cădea pe pământ fără știrea Tatălui vostru.
Ѩрѫ перїи капꙋлꙋи вострꙋ ꙟкѫсъ нꙋмърац тоц.	La voi însă și perii capului, toți sunt numărați.
Дерепт ачѣѧ нꙋвѫ тѣмерец, кѫ демꙋлть пъсърѣле, сънтеци вои маи бꙋни.	Așadar nu vă temeți; voi sunteți cu mult mai de preț decât păsările.
Варе чине ва мъртꙋриси пре мине, ꙟнаинтѣ ѡаменилѡр, мъртꙋрисивою ши Еꙋ пре ель, ꙟнаитѣ татѫлꙋи мїеꙋ, чее ꙟчерюре.	Oricine va mărturisi pentru Mine înaintea oamenilor, mărturisi-voi și Eu pentru el înaintea Tatălui Meu, Care este în ceruri.
Дарѫ чела чесъва лепъда де мине ꙟнаинтѣ ѡаменилѡр, лепъдамѫвою ши еꙋ де ел ꙟнаинтѣ татѫлꙋи мїеꙋ че ѧсте ꙟчерюре.	Iar de cel ce se va lepăda de Mine înaintea oamenilor și Eu Mă voi lepăda de el înaintea Tatălui Meu, Care este în ceruri.
Сънꙋвѫ паре къ ам венит съ лас паче пре пъмѫнт : нам венит съ лас паче , че армѫ.	Nu socotiți că am venit să aduc pace pe pământ; n-am venit să aduc pace, ci sabie.
Къ ам венит съ аибѫ сфадѫ, фечорꙋл кꙋ татѫ съꙋ, ши фата кꙋ мꙋмѫ са, ши нѡра кꙋ Соакрѫ са.	Căci am venit să despart pe fiu de tatăl său, pe fiică de mama sa, pe noră de soacra sa.
Ши пиζмашїи ѡмꙋлꙋи, съ фїи фъмѣѧ лꙋи.	Și dușmanii omului (vor fi) casnicii lui.
Чела че юбѣще татѫл, саꙋ мꙋма, маи врътос де кът мине , нꙋи дестоиник мїе, ши чине ва юби фечорꙋл, саꙋ фата маи врътос де мине, нꙋи дестоиникь де мине.	Cel ce iubește pe tată ori pe mamă mai mult decât pe Mine nu este vrednic de Mine; cel ce iubește pe fiu ori pe fiică mai mult decât pe Mine nu este vrednic de Mine.
Ши чине нꙋва лꙋа крꙋчѣ са, ши съ вїе дꙋпѫ мине, нꙋ ѧсте дестоиник демине.	Și cel ce nu-și ia crucea și nu-Mi urmează Mie nu este vrednic de Mine.
Чела че ва афла вїѩца са, пїѩрдеѡва, ѩрѫ чела чеш ва пїѧрде вїѩца са пентрꙋ мине афлаѡва.	Cine ține la sufletul lui îl va pierde, iar cine-și pierde sufletul lui pentru Mine îl va găsi.
Чине прїимѣще пре вои, пре мине прїимѣще: ши чела че прїимѣще пре мине, прїимѣще пре чела че маꙋ тримес пре мине .	Cine vă primește pe voi pe Mine Mă primește, și cine Mă primește pe Mine primește pe Cel ce M-a trimis pe Mine.
Чела че прїимѣще пророкꙋл , ѧ нꙋмеле пророкꙋлꙋи , плата пророкꙋлꙋи ва лꙋа: ши чела че прїимѣще пре дерептꙋль, ꙟ нꙋмеле дерептꙋлꙋи, плата дерептꙋлꙋи ва лꙋа.	Cine primește prooroc în nume de prooroc plată de prooroc va lua, și cine primește pe un drept în nume de drept răsplata dreptului va lua.
Ши чине ва да бъꙋтꙋрѫ, ѹнꙋѧ де ꙟчещи маи мичи нꙋмаи ѹн пахар Де апѫ рѣче, ꙟнꙋмеле ѹченикꙋлꙋи, адевър гръескь воаѡ, нꙋ ва пїѧрде плата лꙋи.	Și cel ce va da de băut unuia dintre aceștia mici numai un pahar cu apă rece, în nume de ucenic, adevărat grăiesc vouă: nu va pierde plata sa.
﻿Ши фꙋ дѣка съвьрши ЇС пoрънчинд ѹченичилѡр съи челор доиспръζѣче,трекꙋ де ачїѩ касѫ ꙟвѣце, ши съ повестѣскѫ прен ѡрашьле лор.	Sfârșind Iisus de dat aceste învățături celor doisprezece ucenici ai Săi, a trecut de acolo ca să învețe și să propovăduiască mai departe prin cetățile lor.
Ѩрѫ Їѡан аꙋζинд дин принсоаре, фаптеле лꙋи ΧС, тримисе дои де ꙟѹченичїи лꙋи Зисе лꙋи:	Și auzind Ioan, în închisoare, despre faptele lui Hristos, și trimițând pe doi dintre ucenicii săi, au zis Lui:
тꙋ Ещи чела че ва съ вїе, аꙋ пре алтꙋл вом ащепта?	Tu ești Cel ce vine, sau să așteptăm pe altul?
Ши ръспꙋнсе ЇС, зисе лѡр, мѣрџеци де спꙋнец лꙋи Їѡан, че аꙋζиц, ши ведец.	Și Iisus, răspunzând, le-a zis: Mergeți și spuneți lui Ioan cele ce auziți și vedeți:
Ѡрбїи вѫд, ши шкїѡпїи ꙟблѫ, гꙋбавїи съкꙋръцескꙋ, Сꙋрζїи аꙋд, морцїи съ скоалѫ, ши Сꙋрꙋманилѡрь, Еѵглїѧ съ проповедꙋѧще.	Orbii își capătă vederea și șchiopii umblă, leproșii se curățesc și surzii aud, morții înviază și săracilor li se binevestește.
Ши феричить ѧсте чела ченꙋсъва Сминти ꙟмине.	Și fericit este acela care nu se va sminti întru Mine.
Ѩрѫ дꙋкъндꙋсѫ ачеѧ, ꙟчепꙋ ЇС агръи мꙋлцимеи де Їѡан, че ац ешит съ ведец ꙟпꙋстїе, аꙋ трестїе карѣ съклътѣще де вънт?	După plecarea acestora, Iisus a început să vorbească mulțimilor despre Ioan: Ce-ați ieșit să vedeți în pustie? Au trestie clătinată de vânt?
Дарѫ ла че аци ешит съ ведец? аꙋ ѡм  ꙟтрꙋ вешминте мои ꙟбръ кат? ѩка, чеѧ че поартѫ вешминте мои ꙟкасе кръещи сънт.	Dar de ce ați ieșit? Să vedeți un om îmbrăcat în haine moi? Iată, cei ce poartă haine moi sunt în casele regilor.
Дарѫ че ай Ешит съ ведец? аꙋ пророк ? адевърь гръескь воаѡ, ши маи маре де пророк.	Atunci de ce-ați ieșit? Să vedeți un prooroc? Da, zic vouă, și mai mult decât un prooroc.
Къ ачеста ѧсте, дои кареле ѧсте скрис, ѩка, Еꙋ вою три мите ꙟџерꙋл мїеꙋ ꙟнаинтѣ фѣцеи тале, кареле ва гъти калѣ та ꙟнаинтѣ та.	Că el este acela despre care s-a scris: "Iată Eu trimit, înaintea feței Tale, pe îngerul Meu, care va pregăti calea Ta, înaintea Ta".
Адевър гръеск воаѡ, нꙋсаꙋ скꙋлат де ꙟнъскꙋц дин мꙋери, маи маре де Їѡан ботеζъторю: дарѫ чинеи маи мик ꙟтрꙋ ꙟмпъръцїѧ черюлꙋи, маи мареи де Ель.	Adevărat zic vouă: Nu s-a ridicat între cei născuți din femei unul mai mare decât Ioan Botezătorul; totuși cel mai mic în împărăția cerurilor este mai mare decât el.
Ѩрѫ ди ꙟ ζилеле лꙋи Їѡан ботезъторюл нънъ акꙋмь, ꙟпъръцїѧ черюлꙋи силескꙋ, ши ꙟдемнъторїи вор апꙋка преѧ.	Din zilele lui Ioan Botezătorul până acum împărăția cerurilor se ia prin străduință și cei ce se silesc pun mâna pe ea.
Къ тоци пророчїи ши лѣџѣ, пънѫ ла Їѡан пророчирѫ.	Toți proorocii și Legea au proorocit până la Ioan.
Ши съ вец врѣ сѫл прїимиць, ачестаи Їлїе кареле ка съвїе.	Și dacă voiți să înțelegeți, el este Ilie, cel ce va să vină.
Чела че аре ꙋреки де аꙋζирѣ,съ аꙋζѫ.	Cine are urechi de auzit să audă.
Дарѫ кꙋи вою ꙟкипꙋи рꙋда ачаста? асѣмениле ѧсте поробочилѡрь кърора шѫдь ꙟтъргь, ши стригѫ пре Соцїи лѡрь.	Dar cu cine voi asemăna neamul acesta? Este asemenea copiilor care șed în piețe și strigă către alții,
ши ζикь: Кънтатам воаѡ, ши наци џюкат, плънсам воаѡ ши на плънсꙋ.	Zicând: V-am cântat din fluier și n-ați jucat; v-am cântat de jale și nu v-ați tânguit.
Къ вени Їѡан, неч мънкънд неч бънд, ши зик къ аре драк.	Căci a venit Ioan, nici mâncând, nici bând, și spun: Are demon.
Вени фїюл ѡменескь, мънкънд ши бънд, зик, ѩка ѡмь мънкъторю, ши вин бъꙋторю, соц вамешилѡр, ши пъкътошилѡρ, ши съ ꙟдърѩптѫ ꙟцелепцїѧ дела фїи лѡр.	A venit Fiul Omului, mâncând și bând și spun: Iată om mâncăcios și băutor de vin, prieten al vameșilor și al păcătoșilor. Dar înțelepciunea s-a dovedit dreaptă din faptele ei.
Атꙋнчѣ ꙟчепꙋ ЇС кꙋ ꙟфрꙋнтаре ачерта ѡрашъле, ꙟтрꙋ кареле фꙋрѫ фъкꙋте мꙋлте пꙋтериле лꙋи, къче нꙋс покъирѫ.	Atunci a început Iisus să mustre cetățile în care se făcuseră cele mai multe minuni ale Sale, căci nu s-au pocăit.
Амар цие χораζин, амара цїе виѳсанда: къ де арѫфи фость ꙟтѵирь, ши ꙟсидон пꙋтериле кареле фꙋрѫ ꙟтрꙋ вои, де де мꙋлть ꙟ сачи ши ꙟ ченꙋшѫ сарѫ фи покъить.	Vai ție, Horazine, vai ție, Betsaida, că dacă în Tir și în Sidon s-ar fi făcut minunile ce s-au făcut în voi, de mult, în sac și în cenușă, s-ar fi pocăit.
ꙟсѫ ζик воаѡ,тѵрꙋлꙋи ши сидонꙋлꙋи, маи лесне вафи ꙟζꙋѡа џюдекъцїеи декът воаѡ.	Dar zic vouă: Tirului și Sidonului le va fi mai ușor în ziua judecății, decât vouă.
Ши тꙋ капернаꙋм, чете ꙟнълцашь пънѫ ꙟчерю, пънѫ ꙟѩдь тевеи погорѫ, деарѫ фи фость ꙟсодомь пꙋтериле кареле фꙋрѫ фъкꙋте ꙟтрꙋ тине, фирарѫ тръиндь пънѫ ꙟζꙋѡа де астъζи.	Și tu, Capernaume: N-ai fost înălțat până la cer? Până la iad te vei coborî. Căci de s-ar fi făcut în Sodoma minunile ce s-au făcut în tine, ar fi rămas până astăzi.
Ꙟсѫ гръескь воаѡ, къ пъмѫнтꙋлꙋи содомꙋлꙋи маи лесне вафи ꙟζꙋѡа џюдекѫцїеи.	Dar zic vouă că pământului Sodomei îi va fi mai ușor în ziua judecății decât ție.
Ꙟтрꙋачѣѧ врѣме ръспꙋнсе ЇС зисе, лаꙋдѫ цїе даꙋ пъринте домнꙋл черюлꙋи ши ал пъмѫнтꙋлꙋи, къ аи аскꙋнсь ачѣстѣ де мъндри ши де ꙟцелепци, ши лѣи арътат поробочилѡр.	În vremea aceea, răspunzând, Iisus a zis: Te slăvesc pe Tine, Părinte, Doamne al cerului și al pământului, căci ai ascuns acestea de cei înțelepți și pricepuți și le-ai descoperit pruncilor.
Бинеи пъринте, къ ашѧ цѣꙋ плъкꙋт цїе.	Da, Părinte, căci așa a fost bunăvoirea înaintea Ta.
Тоате сънть мїе дате дела татъль мїеꙋ: ши ниме нꙋ кꙋноаще пре фїюл, нꙋмаи татъл, нече пре татъл ниме нꙋл кꙋноаще чинева, нꙋмаи фїюл, ши кꙋи ва фїюл шил арате.	Toate Mi-au fost date de către Tatăl Meu și nimeni nu cunoaște pe Fiul, decât numai Tatăl, nici pe Tatăl nu-L cunoaște nimeni, decât numai Fiul și cel căruia va voi Fiul să-i descopere.
Вениц кътрѫ мине тоци чеи ꙋстениць,ши ꙟповѫраци, ши еꙋ вою ѡдиχни превои .	Veniți la Mine toți cei osteniți și împovărați și Eu vă voi odihni pe voi.
Лꙋаци џюгꙋль мїеꙋ спревои, ши вѫ ꙟвъцаци де мине, кѫ блънд сънт ши смерит кꙋ инима ши вец афла ръпаѡс Сꙋфлетелѡрь воастре.	Luați jugul Meu asupra voastră și învățați-vă de la Mine, că sunt blând și smerit cu inima și veți găsi odihnă sufletelor voastre.
Къе џюгꙋль мїеꙋ дꙋлче, ши сарчина мѣ юшаоарѫ ѧсте.	Căci jugul Meu e bun și povara Mea este ușoară.
Ꙟтрачѣѧ врѣрме меρџѣ ЇС съмбѫта, пре ꙟсъмънътꙋри, ѩрѫ ѹченичїи лꙋи флъмънζирѫ, ши ꙟчепꙋрѫ арꙋмпе спиче ши амънка.	În vremea aceea, mergea Iisus, într-o zi de sâmbătă, printre semănături, iar ucenicii Lui au flămânzit și au început să smulgă spice și să mănânce.
Дарѫ фарисеи въζъндь, зисърѫ лꙋи: ѩка, ѹченичїи тъи фак карѣ нꙋсѫ каде а фаче съмбъта.	Văzând aceasta, fariseii au zis Lui: Iată, ucenicii Tăi fac ceea ce nu se cuvine să facă sâmbăta.
Ѩрѫ ель ζисе лѡр: аꙋнац четит че фъкꙋ Давид, къндь флъмънзиель, ши карїи ера кꙋ ель?	Iar El le-a zis: Au n-ați citit ce-a făcut David când a flămânzit, el și cei ce erau cu el?
Кꙋм ꙟтрѫ ꙟкаса лꙋи Дꙋмнеѕъꙋ ши пъиниле чѣле депре маса домнꙋлꙋи ле мънкѫ, кареле нꙋисѫ къдѣ съле мънънче, неч челора че Ера кꙋ ел, фърѫ нꙋмаи преѡцилѡр?	Cum a intrat în casa Domnului și a mâncat pâinile punerii înainte, care nu se cuveneau lui să le mănânce, nici celor ce erau cu el, ci numai preoților?
Саꙋ нац четит ꙟлѣџе къ ꙟ симбете, преѡцїи ꙟбесѣрекѫ Съмбъта калкѫѡ, ши невиновац сънть?	Sau n-ați citit în Lege că preoții, sâmbăta, în templu, calcă sâmbăta și sunt fără de vină?
Ѩрѫ зик воаѡ къ маи маре де бесѣрека ѧсте ачичѣ.	Ci grăiesc vouă că mai mare decât templul este aici.
Съ аци щи че ѧсте милѫ воескь ши нꙋ жъртвѫ наци χꙋли пре чеи невиновац?	Dacă știați ce înseamnă: Milă voiesc iar nu jertfă, n-ați fi osândit pe cei nevinovați.
Къ домнꙋл ѧтсе ши съмбетеи фїюл ѡменеск.	Că Domn este și al sâmbetei Fiul Omului.
Ши Ешинд де аколѣ,вени ЇС ꙟсинагога лѡрь.	Și trecând de acolo, a venit în sinagoga lor.
Ши ѩка ѹн ѡм ера аколѣ авънд мъна ѹскатѫ. ши ꙟтребарѫ пре ел, ζикънд: ѡаре каде сѫ ꙟсъмбътѫ авиндека? касъл баџе ꙟвинѫ.	Și iată un om având mâna uscată. Și L-au întrebat, zicând: Cade-se, oare, a vindeca sâmbăta? Ca să-L învinuiască.
Ѩрѫ Ел зисе: лѡр чине ѧсте ꙟтрꙋ вои ѡм кареле аре ѡ ѡае,ши де ва къдѣ съмбъта ꙟгроапѫ, аꙋ нꙋ ѡва апꙋка ши ѡва скоате?	El le-a zis: Cine va fi între voi omul care va avea o oaie și, de va cădea ea sâmbăta în groapă, nu o va apuca și o va scoate?
Дарѫ кꙋкът ѧсте ѡмꙋл маи скꙋмпь декът ѡаѧ! дерептачѣѧ пот фаче ꙟсъмбете.	Cu cât se deosebește omul de oaie! De aceea se cade a face bine sâmbăta.
Атꙋнчѣ гръи ѡмꙋлꙋи,тинде мъна та. ши ѡ тинсе, ши сѫ ꙟтреџи ка ши чѣѧ лалтѫ.	Atunci i-a zis omului: Întinde mâna ta. El a întins-o și s-a făcut sănătoasă ca și cealaltă.
Ѩрѫ фарисеи дѣка еширѫ цънꙋрѫ пре ел сфат кꙋм ларѫ пїѧрде.	Și ieșind, fariseii s-au sfătuit împotriva Lui cum să-L piardă.
Дарѫ ЇС, дѣка ꙟцелѣсе, съ дꙋсе де аколѣ. ши дꙋпѫ Ел мѣрсърѫ нъроаде мꙋлте ши виндека пре тоци.	Iisus însă, cunoscându-i, S-a dus de acolo. Și mulți au venit după El și i-a vindecat pe toți.
Шїи контени пре еи, ка съ нꙋл факѫ пре ел аѧве.	Dar le-a poruncit ca să nu-L dea în vileag,
Ка съсѫ ꙟпле карѣе ζисѫ прин Їсаиѧ пророкꙋл, ζикънд:	Ca să se împlinească ceea ce s-a spus prin Isaia proorocul, care zice:
ѩтѫ слꙋга мѣ, карѣ миѡам алесь, юбитꙋл мїеꙋ, ꙟкареле сѫ ѡдихни сꙋфлетꙋл мїеꙋ; пꙋне вою дхꙋл мїеꙋ спре Ел ши ва вестꙋи пъгънилѡр џюдекатѫ.	"Iată Fiul Meu pe Care L-am ales, iubitul Meu întru Care a binevoit sufletul Meu; pune-voi Duhul Meu peste El și judecată neamurilor va vesti.
Нꙋ ва причи, неч ва стрїга, неч ва аꙋζи чинева, ꙟꙋлїць кꙋвънтꙋл лꙋи.	Nu se va certa, nici nu va striga, nu va auzi nimeni, pe ulițe, glasul Lui.
Трестїѧ здробитѫ нꙋ ва фрънџе ши фещила че фꙋмегѫ нꙋ ва ꙟтинџе, пънѫ нꙋ ва скоате џюдеката ла бирꙋинцѫ.	Trestie strivită nu va frânge și feștilă fumegândă nu va stinge, până ce nu va scoate, spre biruință, judecata.
Ши ꙟтрꙋ нꙋмеле лꙋи пъгънїи съвор нъдъждꙋи.	Și în numele Lui vor nădăjdui neamurile."
Атꙋнчѣ адꙋсърѫ лꙋи ѹн дръчит, ѡрбь ши мꙋт, ши виндекѫ пре ел, ашѧ кꙋм ѡрбꙋл ши мꙋтꙋл, ши гръи ши въζꙋ.	Atunci au adus la El pe un demonizat, orb și mut, și l-a vindecat, încât cel orb și mut vorbea și vedea.
Ши съ мирѫ диханїѧ тоатѫ, ши зисе: аꙋ нꙋи доарѫ ачеста фїюль чела, алꙋи двд?	Mulțimile toate se mirau zicând: Nu este, oare, Acesta, Fiul lui David?
